glottocode;iso_code;wals_code;language;genus;family;longitude;latitude;area;continent;macroarea;macrocontinent.3;macrocontinent.4;circumpacific
taro1264;trv;see;Seediq;Atayalic;Austronesian;121,41667;24,16667;Southeast_Asia;S_&_SE_Asia;Papunesia;ow;eur;no
mend1268;sim;;Seim/Mende (Papua New Guinea);Middle Sepik;Sepik;142,68;-3,67;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
seim1238;ssg;;Seimat;Oceanic;Austronesian;145,07;-1,53;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
onaa1245;ona;sel;Selknam;Chon Proper;Chon;-70;-53;SE_South_America;S_America;South America;nw;nw;yes
selk1253;sel;skp;Selkup;Samoyedic;Uralic;82;65;Inner_Asia;NC_Asia;Eurasia;ow;eur;no
seme1247;sza;sml;Semelai;Aslian;Austro-Asiatic;103;3;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
sici1249;sep;;Sénoufo (Sìcìté);Gur;Niger-Congo;-5,29;11,18;African_Savannah;Africa;Africa;ow;afr;no
nucl1632;set;snt;Sentani;Sentani;Sentani;140,58333;-2,58333;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
seri1257;sei;ser;Seri;Seri;Hokan;-112;29;Mesoamerica;C_America;North America;nw;nw;yes
shab1252;sbf;shb;Shabo;Shabo;Nilo-Saharan;35,41667;7,58333;Greater_Abyssinia;Africa;Africa;ow;afr;no
shas1239;sht;shs;Shasta;Shasta;Hokan;-122,66667;41,83333;California;W_N_America;North America;nw;nw;yes
shat1244;shj;sht;Shatt;Daju;Nilo-Saharan;30;10,83333;African_Savannah;Africa;Africa;ow;afr;no
ship1254;shp;shk;Shipibo-Konibo;Panoan;Panoan;-75;-7,5;NE_South_America;S_America;South America;nw;nw;yes
shus1248;shs;shu;Shuswap;Interior Salish;Salishan;-120;52;Alaska-Oregon;W_N_America;North America;nw;nw;yes
siar1238;sjr;sir;Siar;Oceanic;Austronesian;152,91667;-4,66667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
sich1238;iii;;Sichuan Yi;Burmese-Lolo;Sino-Tibetan;102,12;28,19;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
dars1235;dau;sil;Sila;Daju;Nilo-Saharan;21,75;12,33333;African_Savannah;Africa;Africa;ow;afr;no
sipa1247;qum;;Sipacapense;Mayan;Mayan;-91,7;15,23;Mesoamerica;C_America;North America;nw;nw;yes
siro1249;ssd;sro;Siroi;Madang;Trans-New Guinea;146;-5,5;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
situ1238;jya;gyc;Situ;rGyalrong;Sino-Tibetan;102;31,5;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
sius1254;sis;siu;Siuslaw;Siuslawan;Oregon Coast;-124;44;Alaska-Oregon;W_N_America;North America;nw;nw;yes
nucl1634;skv;sko;Skou;Western Skou;Skou;140,91667;-2,66667;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
slav1253;scs;sla;Slave;Athapaskan;Na-Dene;-125;67;E_North_America;E_N_America;North America;nw;nw;yes
sooo1256;teu;so;So;Kuliak;Nilo-Saharan;34,75;2,58333;S_Africa;Africa;Africa;ow;afr;no
sooo1254;sss;;Sô;Katuic;Austro-Asiatic;105;16,91;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
soma1255;som;som;Somali;Eastern Cushitic;Afro-Asiatic;45;3;Greater_Abyssinia;Africa;Africa;ow;afr;no
